name,state,county_seat
ABBEVILLE,SC,
ACADIA,LA,
ACCOMACK,VA,
ADA,ID,
ADAIR,KY,
ADAIR,IA,
ADAIR,OK,
ADAIR,MO,
ADAMS,MS,
ADAMS,ND,
ADAMS,WA,
ADAMS,IN,
ADAMS,WI,
ADAMS,ID,
ADAMS,IL,
ADAMS,CO,
ADAMS,NE,
ADAMS,IA,
ADAMS,OH,
ADAMS,PA,
ADDISON,VT,
AIKEN,SC,
AITKIN,MN,
ALACHUA,FL,
ALAMANCE,NC,
ALAMEDA,CA,
ALAMOSA,CO,
ALBANY,WY,
ALBANY,NY,
ALBEMARLE,VA,
ALCONA,MI,
ALCORN,MS,
ALEUTIANS EAST,AK,
ALEUTIANS WEST,AK,
ALEXANDER,NC,
ALEXANDER,IL,
ALEXANDRIA CITY,VA,
ALFALFA,OK,
ALGER,MI,
ALLAMAKEE,IA,
ALLEGAN,MI,
ALLEGANY,MD,
ALLEGANY,NY,
ALLEGHANY,NC,
ALLEGHANY,VA,
ALLEGHENY,PA,
ALLEN,OH,
ALLEN,LA,
ALLEN,IN,
ALLEN,KS,
ALLEN,KY,
ALLENDALE,SC,
ALPENA,MI,
ALPINE,CA,
AMADOR,CA,
AMELIA,VA,
AMHERST,VA,
AMITE,MS,
ANCHORAGE,AK,
ANDERSON,KS,
ANDERSON,KY,
ANDERSON,SC,
ANDERSON,TN,
ANDERSON,TX,
ANDREW,MO,
ANDREWS,TX,
ANDROSCOGGIN,ME,
ANGELINA,TX,
ANNE ARUNDEL,MD,
ANOKA,MN,
ANSON,NC,
ANTELOPE,NE,
ANTRIM,MI,
APACHE,AZ,
APPANOOSE,IA,
APPLING,GA,
APPOMATTOX,VA,
ARANSAS,TX,
ARAPAHOE,CO,
ARCHER,TX,
ARCHULETA,CO,
ARENAC,MI,
ARKANSAS,AR,
ARLINGTON,VA,
ARMSTRONG,TX,
ARMSTRONG,PA,
AROOSTOOK,ME,
ARTHUR,NE,
ASCENSION,LA,
ASHE,NC,
ASHLAND,WI,
ASHLAND,OH,
ASHLEY,AR,
ASHTABULA,OH,
ASOTIN,WA,
ASSUMPTION,LA,
ATASCOSA,TX,
ATCHISON,KS,
ATCHISON,MO,
ATHENS,OH,
ATKINSON,GA,
ATLANTIC,NJ,
ATOKA,OK,
ATTALA,MS,
AUDRAIN,MO,
AUDUBON,IA,
AUGLAIZE,OH,
AUGUSTA,VA,
AURORA,SD,
AUSTIN,TX,
AUTAUGA,AL,
AVERY,NC,
AVOYELLES,LA,
BACA,CO,
BACON,GA,
BAILEY,TX,
BAKER,FL,
BAKER,OR,
BAKER,GA,
BALDWIN,AL,
BALDWIN,GA,
BALLARD,KY,
BALTIMORE,MD,
BALTIMORE CITY,MD,
BAMBERG,SC,
BANDERA,TX,
BANKS,GA,
BANNER,NE,
BANNOCK,ID,
BARAGA,MI,
BARBER,KS,
BARBOUR,AL,
BARBOUR,WV,
BARNES,ND,
BARNSTABLE,MA,
BARNWELL,SC,
BARREN,KY,
BARRON,WI,
BARROW,GA,
BARRY,MO,
BARRY,MI,
BARTHOLOMEW,IN,
BARTON,MO,
BARTON,KS,
BARTOW,GA,
BASTROP,TX,
BATES,MO,
BATH,KY,
BATH,VA,
BAXTER,AR,
BAY,FL,
BAY,MI,
BAYFIELD,WI,
BAYLOR,TX,
BEADLE,SD,
BEAR LAKE,ID,
BEAUFORT,SC,
BEAUFORT,NC,
BEAUREGARD,LA,
BEAVER,UT,
BEAVER,OK,
BEAVER,PA,
BEAVERHEAD,MT,
BECKER,MN,
BECKHAM,OK,
BEDFORD,VA,
BEDFORD,TN,
BEDFORD,PA,
BEDFORD CITY,VA,
BEE,TX,
BELKNAP,NH,
BELL,TX,
BELL,KY,
BELMONT,OH,
BELTRAMI,MN,
BEN HILL,GA,
BENEWAH,ID,
BENNETT,SD,
BENNINGTON,VT,
BENSON,ND,
BENT,CO,
BENTON,IA,
BENTON,MO,
BENTON,WA,
BENTON,IN,
BENTON,AR,
BENTON,MN,
BENTON,TN,
BENTON,MS,
BENTON,OR,
BENZIE,MI,
BERGEN,NJ,
BERKELEY,SC,
BERKELEY,WV,
BERKS,PA,
BERKSHIRE,MA,
BERNALILLO,NM,
BERRIEN,MI,
BERRIEN,GA,
BERTIE,NC,
BETHEL,AK,
BEXAR,TX,
BIBB,AL,
BIBB,GA,
BIENVILLE,LA,
BIG HORN,WY,
BIG HORN,MT,
BIG STONE,MN,
BILLINGS,ND,
BINGHAM,ID,
BLACK HAWK,IA,
BLACKFORD,IN,
BLADEN,NC,
BLAINE,ID,
BLAINE,MT,
BLAINE,OK,
BLAINE,NE,
BLAIR,PA,
BLANCO,TX,
BLAND,VA,
BLECKLEY,GA,
BLEDSOE,TN,
BLOUNT,AL,
BLOUNT,TN,
BLUE EARTH,MN,
BOISE,ID,
BOLIVAR,MS,
BOLLINGER,MO,
BON HOMME,SD,
BOND,IL,
BONNER,ID,
BONNEVILLE,ID,
BOONE,IN,
BOONE,MO,
BOONE,IA,
BOONE,KY,
BOONE,IL,
BOONE,AR,
BOONE,WV,
BOONE,NE,
BORDEN,TX,
BOSQUE,TX,
BOSSIER,LA,
BOTETOURT,VA,
BOTTINEAU,ND,
BOULDER,CO,
BOUNDARY,ID,
BOURBON,KS,
BOURBON,KY,
BOWIE,TX,
BOWMAN,ND,
BOX BUTTE,NE,
BOX ELDER,UT,
BOYD,KY,
BOYD,NE,
BOYLE,KY,
BRACKEN,KY,
BRADFORD,FL,
BRADFORD,PA,
BRADLEY,AR,
BRADLEY,TN,
BRANCH,MI,
BRANTLEY,GA,
BRAXTON,WV,
BRAZORIA,TX,
BRAZOS,TX,
BREATHITT,KY,
BRECKINRIDGE,KY,
BREMER,IA,
BREVARD,FL,
BREWSTER,TX,
BRISCOE,TX,
BRISTOL,VA,
BRISTOL,MA,
BRISTOL,RI,
BRISTOL BAY,AK,
BROADWATER,MT,
BRONX,NY,
BROOKE,WV,
BROOKINGS,SD,
BROOKS,TX,
BROOKS,GA,
BROOME,NY,
BROWARD,FL,
BROWN,TX,
BROWN,IN,
BROWN,WI,
BROWN,KS,
BROWN,MN,
BROWN,IL,
BROWN,SD,
BROWN,OH,
BROWN,NE,
BRULE,SD,
BRUNSWICK,NC,
BRUNSWICK,VA,
BRYAN,OK,
BRYAN,GA,
BUCHANAN,VA,
BUCHANAN,IA,
BUCHANAN,MO,
BUCKINGHAM,VA,
BUCKS,PA,
BUENA VISTA,IA,
BUENA VISTA CITY,VA,
BUFFALO,WI,
BUFFALO,NE,
BUFFALO,SD,
BULLITT,KY,
BULLOCH,GA,
BULLOCK,AL,
BUNCOMBE,NC,
BUREAU,IL,
BURKE,ND,
BURKE,NC,
BURKE,GA,
BURLEIGH,ND,
BURLESON,TX,
BURLINGTON,NJ,
BURNET,TX,
BURNETT,WI,
BURT,NE,
BUTLER,KS,
BUTLER,AL,
BUTLER,KY,
BUTLER,NE,
BUTLER,PA,
BUTLER,IA,
BUTLER,MO,
BUTLER,OH,
BUTTE,ID,
BUTTE,CA,
BUTTE,SD,
BUTTS,GA,
CABARRUS,NC,
CABELL,WV,
CACHE,UT,
CADDO,LA,
CADDO,OK,
CALAVERAS,CA,
CALCASIEU,LA,
CALDWELL,MO,
CALDWELL,NC,
CALDWELL,LA,
CALDWELL,TX,
CALDWELL,KY,
CALEDONIA,VT,
CALHOUN,FL,
CALHOUN,GA,
CALHOUN,SC,
CALHOUN,AR,
CALHOUN,TX,
CALHOUN,AL,
CALHOUN,MI,
CALHOUN,IL,
CALHOUN,WV,
CALHOUN,IA,
CALHOUN,MS,
CALLAHAN,TX,
CALLAWAY,MO,
CALLOWAY,KY,
CALUMET,WI,
CALVERT,MD,
CAMAS,ID,
CAMBRIA,PA,
CAMDEN,NC,
CAMDEN,MO,
CAMDEN,NJ,
CAMDEN,GA,
CAMERON,LA,
CAMERON,TX,
CAMERON,PA,
